fct;I;A;H;W
Knee extension isokinetic;-96.7;-1;137;0.62
Knee flexion isokinetic;-40.2;-0.48;57;0.46
Knee extension isometric;-201;-0.96;216;0.88
Ankle extension isokinetic;-11.4;-0.1;16;0.17
Ankle flexion isokinetic;33.2;-0.68;24;0.59
Ankle extension Isometric;-37.8;-0.04;35;0.16
Hip extension isokinetic ;-108.7;-0.87;147;0.5
Hip flexion isokinetic;-72.3;-0.42;96;0.38
Hip flexion isometric;-72.4;-0.2;78;0.89
Shoulder abduction isokinetic;-9.3;-0.2;24;0.28
Shoulder adduction isokinetic;-24.5;-0.15;40;0.18
Shoulder abduction isometric;-28.2;-0.21;35;0.29
Elbow extension isokinetic;6.4;-0.1;5;0.27
Elbow flexion isokinetic;-16.5;-0.12;27;0.09
Elbow flexion isometric;6.9;-0.13;9;0.18
Wrist extension isokinetic;-9;-0.01;9;0.01
Wrist flexion isokinetic;-2.3;-0.02;8;0.04
Wrist flexion isometric;-22.2;-0.04;23;0
